ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type
6580,https://indianexpress.com/article/india/dalit-girl-raped-killed-in-barabanki-6749328/,"Dalit girl raped, killed in Barabanki",,IND,dalit,0,,,
6582,https://www.newindianexpress.com/nation/2020/oct/11/justice-for-payal-tadvi-scs-nod-for-pg-education-of-three-accused-sparks-twitter-row-on-dalit-righ-2208937.html,Justice for Payal Tadvi: SC's nod for PG education of three accused sparks Twitter row on Dalit righ,,IND,dalit,0,,,
6595,https://ruralindiaonline.org/articles/a-dalit-goes-to-court---1/,A Dalit goes to court â€“ 1,,IND,dalit,0,,,
6601,https://www.hindustantimes.com/india-news/dalit-woman-whose-2-daughters-died-mysteriously-in-kerala-starts-another-protest/story-CUwaq9gWUiorcZd1VV21hL.html,Dalit woman whose 2 daughters died mysteriously in Kerala starts another protest,,IND,dalit,1,3,,
6607,https://www.indiatoday.in/india/story/hathras-horror-do-dalit-lives-matter-will-there-be-change-on-the-ground-1727838-2020-10-02,Hathras horror: Do Dalit lives matter? Will there be change on the ground?Â ,,IND,dalit,1,3,,
6611,https://www.thenewsminute.com/article/opinion-why-dalit-women-should-reclaim-telanganas-bathukamma-festival-136072,Opinion: Why Dalit women should reclaim Telangana's Bathukamma festival,,IND,dalit,0,,,
6619,https://timesofindia.indiatimes.com/india/15-year-old-dalit-gangrape-victim-commits-suicide-in-ups-chitrakoot-police/articleshow/78647780.cms,15-year-old Dalit 'gangrape victim' commits suicide in UP's Chitrakoot: Police | India News - Times of India,,IND,dalit,1,3,,
6629,https://www.hindustantimes.com/india-news/15-year-old-dalit-girl-s-dead-body-found-in-uttar-pradesh-field-kin-suspect-murder/story-fSMxf00rVDJVCtHB7BwHBM.html,"15-year-old Dalit girlâ€™s dead body found in Uttar Pradesh field, kin suspect murder",,IND,dalit,0,,,
6633,https://www.hindustantimes.com/columns/being-a-dalit-woman-in-modern-india/story-BhbLCRuBRwz7l3lFbJoJwL.html,Being a Dalit woman in modern India,,IND,dalit,0,,,
6635,https://caravanmagazine.in/caste/dalits-protested-hathras-crime-funeral-ritual,How Dalits from villages across India protested the Hathras crime with a funeral ritual,,IND,dalit,1,3,,
6644,https://www.nationalheraldindia.com/national/15-yr-old-dalit-gangrape-victim-ends-life-in-ups-chitrakoot-police,15-yr-old Dalit â€˜gangrape victimâ€™ ends life in UPâ€™s Chitrakoot: Police,,IND,dalit,1,3,,
6645,https://www.indiatvnews.com/news/india/ram-vilas-paswan-death-manmohan-singh-india-lost-greatest-dalit-socialist-leader-655698,Ram Vilas Paswan death Manmohan singh India lost greatest Dalit socialist leader,,IND,dalit,0,,,
6662,https://www.indiatoday.in/india/story/uttar-pradesh-dalit-woman-gang-raped-at-gunpoint-both-accused-on-the-run-1732880-2020-10-18,"Uttar Pradesh: Dalit woman gang-raped at gunpoint, both accused on the run",,IND,dalit,0,,,
6664,https://www.altnews.in/cctv-clip-falsely-viral-as-rss-activists-murder-rape-daughter-of-dalit-ias-officer-in-nagpur/,"CCTV clip falsely viral as RSS activists murder, rape daughter of Dalit IAS officer in Nagpur - Alt News",,IND,dalit,0,,,
6669,https://www.news18.com/news/buzz/hardik-pandya-takes-a-knee-for-black-lives-matter-twitterrati-ask-him-what-about-dalit-lives-3008291.html,"Hardik Pandya Takes a Knee for 'Black Lives Matter', Twitterrati Ask Him 'What About Dalit Lives?'",,IND,dalit,1,2,,
6672,https://www.newindianexpress.com/nation/2020/oct/14/15-year-old-dalit-gangrape-victim-ends-life-in-uttar-pradesh-chitrakoot-police-2210073.html,15-year-old Dalit 'gangrape victim' ends life in Uttar Pradesh's Chitrakoot: Police,,IND,dalit,1,3,,
6673,http://www.anticaste.in/the-murder-of-a-dalit-communist/,The murder of a Dalit communist,,IND,dalit,0,,,
6683,https://www.news18.com/news/india/dalit-liquor-vend-salesman-allegedly-burnt-alive-in-rajasthans-alwar-over-salary-dues-3008438.html,Dalit Liquor Vend Salesman Allegedly Burnt Alive in Rajasthan's Alwar Over Salary Dues,,IND,dalit,0,,,
6689,https://www.bbc.co.uk/programmes/p08v1v6w,"BBC World Service - Newsday, Justice demanded after Dalit woman's death",,IND,dalit,0,,,
