ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type,
1634,https://www.researchgate.net/publication/339489155_Mineralogical_heterogeneity_of_UHP_garnet_peridotite_in_the_Moldanubian_Zone_of_the_Bohemian_Massif_Nove_Dvory_Czech_Republic,"(PDF) Mineralogical heterogeneity of UHP garnet peridotite in the Moldanubian Zone of the Bohemian Massif (Nové Dvory, Czech Republic)",,CZE,none,0,0,0,0,
1637,https://www.goodreads.com/review/show/1799170914,Vendea (Czech Republic)’s review of Zom-B Angels,,none,none,0,0,0,0,
1652,https://www.goodreads.com/review/show/3196259151,"Hanussen (Jaromer, Czech Republic)’s review of Robin: Rok jedna",,none,none,0,0,0,0,
1671,http://www.doctorama.fr/e/31522,"Global Summit on Generic Drugs and Quality Control September 07-08, 2020 Prague, Czech Republic",,CZE,none,0,0,0,0,
1674,https://www.goodreads.com/review/show/3202937562,"Veronika (Ceske Budejovice, 79, Czech Republic)’s review of Hledání Aljašky",,none,none,0,0,0,0,
1749,https://www.goodreads.com/review/show/2758395881,Vendea (Czech Republic)’s review of Soul of the Sword,,none,none,0,0,0,0,
1792,https://www.goodreads.com/review/show/365793000,"Christian (Prague, Czech Republic)’s review of Fool's Errand",,none,none,0,0,0,0,
1793,https://www.youtube.com/watch?v=7ujORtH5TpA,Prague Czech Republic - Národní,,CZE,none,0,0,0,0,
1913,https://www.euronews.com/2020/03/12/czech-republic-tests-nanotechnology-for-disinefecting-public-transport,Czech Republic tests nanotechnology for disinfecting public transport,,CZE,none,0,0,0,0,
1930,https://www.news24.com/SouthAfrica/News/p2-parktown-boys-high-applies-for-a-trip-to-czech-republic-as-enock-mpianzis-family-lawyer-prepares-civil-criminal-case-20200305,Parktown Boys' High plans Czech Republic trip as Enock Mpianzi's family forges on with legal action,,CZE,none,0,0,0,0,
1950,https://eurovoix.com/2020/03/11/czech-republic-benny-cristo-considering-reverting-to-original-version-of-kemama/,"Czech Republic: Benny Cristo Considering Reverting to Original Version of ""Kemama"" - Eurovoix",,CZE,none,0,0,0,0,
2001,https://news.expats.cz/weekly-czech-news/czech-republic-now-has-40-confirmed-coronavirus-cases-national-security-council-to-meet-this-morning/,"Czech Republic now has 40 confirmed coronavirus cases, National Security Council to meet this morning",,CZE,none,0,0,0,0,
2016,https://wiwibloggs.com/2020/03/16/czech-republic-benny-cristo-releases-final-revamp-of-kemama/252056/,"Czech Republic: Benny Cristo releases final revamp of ""Kemama""",,CZE,none,0,0,0,0,
2128,https://apple.news/Anx_x4gR7SDaLGLsDWtZfuA,Coronavirus: Britons banned from entering Czech Republic amid pandemic,,CZE,none,0,0,0,0,
2170,http://www.fiba.basketball/oqt/canada/2020/news/satoransky-helping-fuel-basketball-mania-in-czech-republic,Satoransky helping fuel basketball mania in Czech Republic,,CZE,czech,0,0,0,0,
2177,https://www.taipeitimes.com/News/taiwan/archives/2020/03/13/2003732612,Czech Republic willing to work with Taiwan: ministry - Taipei Times,,CZE,none,0,0,0,0,
2206,https://www.secretflying.com/posts/prague-czech-republic-to-nairobi-kenya-for-only-e367-roundtrip/,"- NEW YEAR: Prague, Czech Republic to Nairobi, Kenya for only €394 roundtrip (Oct-Feb dates)",,CZE,none,0,0,0,0,
2222,https://news.abplive.com/videos/news/india-covid19-entire-czech-republic-under-isolation-1175956,COVID19: Entire Czech Republic under isolation,,CZE,none,0,0,0,0,
2223,http://www.catchnews.com/international-news/coronavirus-spain-czech-republic-claims-china-delivered-faulty-test-kits-187234.html,"Coronavirus: Spain, Czech Republic claims China delivered faulty test kits",,CZE,none,0,0,0,0,
2259,https://www.uci.org/inside-uci/press-releases/2020-mercedes-benz-uci-mountain-bike-world-cup-nove-mesto-na-morave-(czech-republic)-postponed-fort-william-(great-britain)-cancelled,"2020 Mercedes-Benz UCI Mountain Bike World Cup: Nove Mesto na Morave (Czech Republic) postponed, Fort William (Great Britain) cancelled",,none,none,0,0,0,0,
2369,https://www.youtube.com/watch?v=eHbxf0px9RU,"Video Clip #01: Prague, Czech Republic <U+F1E8><U+F1FF>",,CZE,czech,0,0,0,0,
2414,https://www2.deloitte.com/cz/en/pages/risk/solutions/covid-zajisteni-kontinuity-cinnosti.html,COVID-19: Managing Risks and Ensuring Business Continuity | Deloitte Czech Republic,,none,none,0,0,0,0,
2457,https://www.youtube.com/watch?v=FBz_rqfnFqo,How czech republic people are safe from corona virus,,CZE,czech,0,0,0,0,
2549,https://news.trust.org/item/20200310092301-ysssq/,"Czech Republic shutting schools, events over coronavirus",,CZE,czech,0,0,0,0,
2580,https://thepandemicnews.com/covid-19-coronavirus-czech-republic-card-duka-invites-young-people-to-help-defeat-pandemic-agensir/,"COVID-19 Coronavirus: Czech Republic, card. Duka invites young people to help defeat pandemic | AgenSIR",,none,none,0,0,0,0,
2619,https://www.goodreads.com/review/show/2244077639,Daniela (Daniela Nina Reads) (Czech Republic)’s review of Scythe,,none,none,0,0,0,0,
2637,https://www.youtube.com/watch?v=CtsROD7xbaQ,Sister Petra from Czech Republic shares her path to Islam,,CZE,czech,0,0,0,0,
2644,https://www.youtube.com/watch?v=JyzND0WIswM,The Beautiful place in PRAGUE Czech republic,,CZE,czech,0,0,0,0,
2652,https://ceelegalmatters.com/briefings/13111-czech-republic-obstacles-to-work-on-the-part-of-the-employer-in-connection-with-the-coronavirus,Czech Republic: Obstacles to Work on the Part of the Employer in Connection with the Coronavirus,,CZE,czech,0,0,0,0,
2674,https://iran.timesofnews.com/entertainment/the-latest-czech-republic-banning-most-travel-in-country.html,The Latest: Czech Republic banning most travel in country,,CZE,czech,0,0,0,0,
